Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,latitude,longitude
2005,Unprovoked,USA,Florida,Swimming,M,20,Foot bitten,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,South Carolina,Boogie boarding,F,11,Foot lacerated,N,NA,33.836081,-81.163725
2005,Unprovoked,USA,Texas,Wading,M,6,Two 2-inch lacerations on right foot,N,NA,31.968599,-99.901813
2005,Unprovoked,USA,Florida,Swimming,M,33,Left foot bitten,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,Florida,Crouching in 2' of water,F,NA,Right arm & torso bitten,N,NA,27.664827,-81.515754
2005,Unprovoked,USA,Hawaii,Kayaking,NA,NA,"No injury, shark bit kayak",N,Tiger   ,-14.270972,-170.132217
2005,Sea Disaster,USA,South Carolina,Sea Disaster,M,NA,No injury,N,NA,33.836081,-81.163725
2005,Unprovoked,USA,Hawaii,Surfing,M,47,"No injury, board damaged",N,Tiger   ,-14.270972,-170.132217
2005,Unprovoked,USA,Florida,Wading,F,70,Right lower leg bitten,N,Blacktip,27.664827,-81.515754
2005,Unprovoked,USA,Texas,Surfing,M,37,Left foot bitten ,N,NA,31.968599,-99.901813
2005,Unprovoked,USA,Florida,NA,F,NA,Left calf injured,N,Hammerhead ,27.664827,-81.515754
2005,Provoked,USA,New Mexico,Diving in aquarium display tank,M,45,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,Sandtiger,34.97273,-105.032363
2005,Provoked,USA,Florida,Spearfishing,M,NA,Speared shark bit his chest PROVOKED INCIDENT,N,Nurse ,27.664827,-81.515754
2005,Unprovoked,USA,Hawaii,Surfing,M,NA,"No injury, knocked off board, shark bit board",N,Tiger   ,-14.270972,-170.132217
2005,Unprovoked,USA,Florida,Spearfishing,M,NA,Hand bitten,N,Caribbean reef,27.664827,-81.515754
2006,Unprovoked,USA,California,Surfing,M,43,"Minor injuries, surfboard bitten",N,White,36.778261,-119.417932
2006,Unprovoked,USA,Hawaii,Swimming,M,29,Laceration to left thigh & left hand,N,NA,-14.270972,-170.132217
2006,Unprovoked,USA,Oregon,Surfing,M,22,"No injury, surfboard bitten",N,White,43.804133,-120.554201
2006,Unprovoked,USA,Florida,Fishing,M,15,Lower right leg and foot bitten,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Surfing,M,20,Left ankle bitten,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Texas,Surfing,M,NA,Lacerations to lower left leg,N,NA,31.968599,-99.901813
2006,Unprovoked,USA,Florida,Playing soccer in the water,M,18,Lacerations to foot,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Surfing,M,19,Big toe bitten,N,NA,27.664827,-81.515754
2006,Provoked,USA,Florida,Diving / Kissing the shark,M,NA,Lacerations to upper lip    PROVOKED INCIDENT,N,Nurse ,27.664827,-81.515754
2006,Unprovoked,USA,North Carolina,Surfing,M,16,Laceration to left thigh,N,NA,35.759573,-79.0193
2006,Unprovoked,USA,Florida,Swimming,M,55,Minor injury to left hand,N,Blacktip,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Surfing,M,52,Left torso grazed,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Standing,M,33,Puncture wounds and cuts to right thigh,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Swimming,M,12,Arm bitten,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Oregon,Surfing,M,23,Laceration & puncture wounds to foot,N,NA,43.804133,-120.554201
2006,Unprovoked,USA,North Carolina,Wading,F,59,Lacerations & punctures to left foot,N,NA,35.759573,-79.0193
2006,Provoked,USA,Kentucky,Touching sharks,NA,NA,"Minor injuries, similar to paper cuts from the captive sharks  PROVOKED INCIDENTS",N,Catshark,37.839333,-84.270018
2006,Unprovoked,USA,Oregon,Surfing,M,41,Minor injury,N,White,43.804133,-120.554201
2006,Unprovoked,USA,Florida,Surfing,M,15,Foot bitten,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Surfing,M,14,Minor lacerations to right foot,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Texas,Surf fishing,M,NA,Right foot bitten,N,Bull   ,31.968599,-99.901813
2006,Unprovoked,USA,South Carolina,Standing,M,49,Left ankle & foot bitten,N,Angel   ,33.836081,-81.163725
2006,Unprovoked,USA,South Carolina,Swimming,F,21,Ankle & foot bitten,N,NA,33.836081,-81.163725
2006,Unprovoked,USA,Florida,Wading,M,40,Dorsum of left foot bitten,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Walking,M,11,Lower leg & ankle bitten,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,South Carolina,Body boarding,F,14,Foot bitten,N,Blacktip,33.836081,-81.163725
2006,Unprovoked,USA,Florida,Swimming,M,13,Right calf bitten,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Spearfishing,F,28,Lacerations & puncture wound  to arm,N,Blacktip Reef  ,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Spearfishing,M,35,Minor injuries,N,Blacktip Reef  ,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Body boarding,F,9,Right calf bitten,N,NA,27.664827,-81.515754
2006,Provoked,USA,Florida,Fishing,M,NA,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Surfing,F,22,2-inch puncture wounds on right foot,N,Blacktip,27.664827,-81.515754
2006,Unprovoked,USA,California,Scuba diving,M,43,"No injury, shark bit scuba tank boot",N,NA,36.778261,-119.417932
2006,Unprovoked,USA,Florida,Surfing,M,24,Four 1-inch puncture wounds on left foot ,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,South Carolina,Playing,F,7,Lacerations & puncture wounds to left foot & buttocks,N,NA,33.836081,-81.163725
2006,Unprovoked,USA,Hawaii,Spearfishing,M,26,"4"" laceration to left forearm",N,Tiger   ,-14.270972,-170.132217
2006,Provoked,USA,Hawaii,Tagging sharks,NA,NA,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",N,Tiger   ,-14.270972,-170.132217
2006,Unprovoked,USA,Hawaii,Surfing,M,31,"No injury, shark bumped surfboard",N,NA,-14.270972,-170.132217
2006,Provoked,USA,Hawaii,Spearfishing,M,15,Knee bitten after diver poked shark PROVOKED INCIDENT,N,Grey reef ,-14.270972,-170.132217
2006,Unprovoked,USA,Guam,Scuba diving,F,30,Laceration to leg,N,Tiger   ,13.444304,144.793731
2006,Unprovoked,USA,Florida,NA,M,NA,Small lacerations to arm,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Swimming,F,20,2 lacerations on lower right leg,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Surfing,M,54,Feet bitten,N,NA,27.664827,-81.515754
2006,Unprovoked,USA,Florida,Standing,F,13,3 tiny punctures & small lacerations on right ankle,N,NA,27.664827,-81.515754
2006,Provoked,USA,Florida,Fishing,M,35,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N,Bull   ,27.664827,-81.515754
